city_id,date_updated,lat,lon,city_name,date,humidity,wind_sp,cloudiness,prob_preci,uv_index,day_temp,day_temp_feels,rain
282091180,2022-01-02,43.1506968,6.3419285,Bormes les Mimosas,1641466800,63,4.7,95,0.68,1.16,8.56,6.96,3.87
282091180,2022-01-02,43.1506968,6.3419285,Bormes les Mimosas,1641553200,45,3.77,0,0.15,2,10.91,9.23,0
282091180,2022-01-02,43.1506968,6.3419285,Bormes les Mimosas,1641639600,52,3.38,36,0.04,2,9.73,9.02,0
282091180,2022-01-02,43.1506968,6.3419285,Bormes les Mimosas,1641726000,52,14.15,53,0.49,2,10.5,8.96,0.2
281762295,2022-01-02,43.2181778,5.553394005675274,Cassis,1641207600,55,5.36,99,0,1.15,13.92,12.8,0
281762295,2022-01-02,43.2181778,5.553394005675274,Cassis,1641294000,69,6.17,42,0.1,1.29,14.89,14.24,0
281762295,2022-01-02,43.2181778,5.553394005675274,Cassis,1641380400,64,17.49,80,0.9,1.01,10.51,9.29,1.05
281762295,2022-01-02,43.2181778,5.553394005675274,Cassis,1641466800,45,8.8,47,0.41,1.16,9.23,8.6,0.28
281762295,2022-01-02,43.2181778,5.553394005675274,Cassis,1641553200,47,5.3,5,0.15,2,10.55,8.89,0
281762295,2022-01-02,43.2181778,5.553394005675274,Cassis,1641639600,50,5.5,2,0,2,8.68,5.96,0
281762295,2022-01-02,43.2181778,5.553394005675274,Cassis,1641726000,63,12.07,68,0.7,2,10.22,8.94,1.31
124969,2022-01-02,43.2961743,5.3699525,Marseille,1641207600,57,5.52,98,0,1.11,13.7,12.61,0
124969,2022-01-02,43.2961743,5.3699525,Marseille,1641294000,70,7.1,44,0.04,1.26,14.85,14.22,0
124969,2022-01-02,43.2961743,5.3699525,Marseille,1641380400,65,19.02,87,0.91,0.98,10.9,9.74,1
124969,2022-01-02,43.2961743,5.3699525,Marseille,1641466800,44,10.58,30,0.31,1.17,8.73,8.73,0.18
124969,2022-01-02,43.2961743,5.3699525,Marseille,1641553200,49,5.83,7,0.08,2,9.62,7.36,0
124969,2022-01-02,43.2961743,5.3699525,Marseille,1641639600,60,7.46,2,0,2,8.26,4.66,0
124969,2022-01-02,43.2961743,5.3699525,Marseille,1641726000,62,11.65,70,0.71,2,10.67,9.41,1.38
126708,2022-01-02,43.5298424,5.4474738,Aix en Provence,1641207600,53,2.85,91,0,1.11,12.39,11.07,0
126708,2022-01-02,43.5298424,5.4474738,Aix en Provence,1641294000,53,3.95,31,0.06,1.21,13.81,12.63,0
126708,2022-01-02,43.5298424,5.4474738,Aix en Provence,1641380400,67,12.97,92,0.9,0.99,8.86,4.6,1.34
126708,2022-01-02,43.5298424,5.4474738,Aix en Provence,1641466800,49,4.61,16,0.3,1.15,6.86,5.94,0
126708,2022-01-02,43.5298424,5.4474738,Aix en Provence,1641553200,47,2.42,9,0,2,8.34,7.39,0
126708,2022-01-02,43.5298424,5.4474738,Aix en Provence,1641639600,55,3.38,2,0,2,6.79,4.62,0
126708,2022-01-02,43.5298424,5.4474738,Aix en Provence,1641726000,64,7.74,59,0.83,2,8.31,4.63,1.61
281857541,2022-01-02,43.9492493,4.8059012,Avignon,1641207600,58,4.54,62,0,1.15,13.11,11.99,0
281857541,2022-01-02,43.9492493,4.8059012,Avignon,1641294000,57,1.65,77,0,1.18,13.14,12,0
281857541,2022-01-02,43.9492493,4.8059012,Avignon,1641380400,63,15.25,86,1,1.01,11,9.8,6.17
281857541,2022-01-02,43.9492493,4.8059012,Avignon,1641466800,59,14.71,12,0.07,1.16,6.97,2.01,0
281857541,2022-01-02,43.9492493,4.8059012,Avignon,1641553200,59,5.16,97,0,2,5.8,3.24,0
281857541,2022-01-02,43.9492493,4.8059012,Avignon,1641639600,64,10.04,30,0,2,7.39,2.76,0
